ABC
ABC ACD
ABD BCD
ABC ACD ADE
ABC ACE CDE
ABD ADE BCD
ABE BCD BDE
ABE BCE CDE
ABC ACD ADE AEF
ABC ACD ADF DEF
ABC ACE AEF CDE
ABC ACF CDE CEF
ABC ACF CDF DEF
ABD ADE AEF BCD
ABD ADF BCD DEF
ABE AEF BCD BDE
ABE AEF BCE CDE
ABF BCD BDE BEF
ABF BCD BDF DEF
ABF BCE BEF CDE
ABF BCF CDE CEF
ABF BCF CDF DEF
ABC ACD ADE AEF AFG
ABC ACD ADE AEG EFG
ABC ACD ADF AFG DEF
ABC ACD ADG DEF DFG
ABC ACD ADG DEG EFG
ABC ACE AEF AFG CDE
ABC ACE AEG CDE EFG
ABC ACF AFG CDE CEF
ABC ACF AFG CDF DEF
ABC ACG CDE CEF CFG
ABC ACG CDE CEG EFG
ABC ACG CDF CFG DEF
ABC ACG CDG DEF DFG
ABC ACG CDG DEG EFG
ABD ADE AEF AFG BCD
ABD ADE AEG BCD EFG
ABD ADF AFG BCD DEF
ABD ADG BCD DEF DFG
ABD ADG BCD DEG EFG
ABE AEF AFG BCD BDE
ABE AEF AFG BCE CDE
ABE AEG BCD BDE EFG
ABE AEG BCE CDE EFG
ABF AFG BCD BDE BEF
ABF AFG BCD BDF DEF
ABF AFG BCE BEF CDE
ABF AFG BCF CDE CEF
ABF AFG BCF CDF DEF
ABG BCD BDE BEF BFG
ABG BCD BDE BEG EFG
ABG BCD BDF BFG DEF
ABG BCD BDG DEF DFG
ABG BCD BDG DEG EFG
ABG BCE BEF BFG CDE
ABG BCE BEG CDE EFG
ABG BCF BFG CDE CEF
ABG BCF BFG CDF DEF
ABG BCG CDE CEF CFG
ABG BCG CDE CEG EFG
ABG BCG CDF CFG DEF
ABG BCG CDG DEF DFG
ABG BCG CDG DEG EFG
ABD ADF AFH BCD DEF FGH
ABD ADG AGH BCD DEF DFG
ABD ADG AGH BCD DEG EFG
ABD ADH BCD DEF DFG DGH
ABD ADH BCD DEF DFH FGH
ABD ADH BCD DEG DGH EFG
ABD ADH BCD DEH EFG EGH
ABD ADH BCD DEH EFH FGH
ABE AEF AFG AGH BCD BDE
ABE AEF AFG AGH BCE CDE
ABE AEF AFH BCD BDE FGH
ABE AEF AFH BCE CDE FGH
ABE AEG AGH BCD BDE EFG
ABE AEG AGH BCE CDE EFG
ABE AEH BCD BDE EFG EGH
ABE AEH BCD BDE EFH FGH
ABE AEH BCE CDE EFG EGH
ABE AEH BCE CDE EFH FGH
ABF AFG AGH BCD BDE BEF
ABF AFG AGH BCD BDF DEF
ABF AFG AGH BCE BEF CDE
ABF AFG AGH BCF CDE CEF
ABF AFG AGH BCF CDF DEF
ABF AFH BCD BDE BEF FGH
ABF AFH BCD BDF DEF FGH
ABF AFH BCE BEF CDE FGH
ABF AFH BCF CDE CEF FGH
ABF AFH BCF CDF DEF FGH
ABG AGH BCD BDE BEF BFG
ABG AGH BCD BDE BEG EFG
ABG AGH BCD BDF BFG DEF
ABG AGH BCD BDG DEF DFG
ABG AGH BCD BDG DEG EFG
ABG AGH BCE BEF BFG CDE
ABG AGH BCE BEG CDE EFG
ABG AGH BCF BFG CDE CEF
ABG AGH BCF BFG CDF DEF
ABG AGH BCG CDE CEF CFG
ABG AGH BCG CDE CEG EFG
ABG AGH BCG CDF CFG DEF
ABG AGH BCG CDG DEF DFG
ABG AGH BCG CDG DEG EFG
ABH BCD BDE BEF BFG BGH
ABH BCD BDE BEF BFH FGH
ABH BCD BDE BEG BGH EFG
ABH BCD BDE BEH EFG EGH
ABH BCD BDE BEH EFH FGH
ABH BCD BDF BFG BGH DEF
ABH BCD BDF BFH DEF FGH
ABH BCD BDG BGH DEF DFG
ABH BCD BDG BGH DEG EFG
ABH BCD BDH DEF DFG DGH
ABH BCD BDH DEF DFH FGH
ABH BCD BDH DEG DGH EFG
ABH BCD BDH DEH EFG EGH
ABH BCD BDH DEH EFH FGH
ABH BCE BEF BFG BGH CDE
ABH BCE BEF BFH CDE FGH
ABH BCE BEG BGH CDE EFG
ABH BCE BEH CDE EFG EGH
ABH BCE BEH CDE EFH FGH
ABH BCF BFG BGH CDE CEF
ABH BCF BFG BGH CDF DEF
ABH BCF BFH CDE CEF FGH
ABH BCF BFH CDF DEF FGH
ABH BCG BGH CDE CEF CFG
ABH BCG BGH CDE CEG EFG
ABH BCG BGH CDF CFG DEF
ABH BCG BGH CDG DEF DFG
ABH BCG BGH CDG DEG EFG
ABH BCH CDE CEF CFG CGH
ABH BCH CDE CEF CFH FGH
ABH BCH CDE CEG CGH EFG
ABH BCH CDE CEH EFG EGH
ABH BCH CDE CEH EFH FGH
ABH BCH CDF CFG CGH DEF
ABH BCH CDF CFH DEF FGH
ABH BCH CDG CGH DEF DFG
ABH BCH CDG CGH DEG EFG
ABH BCH CDH DEF DFG DGH
ABH BCH CDH DEF DFH FGH
ABH BCH CDH DEG DGH EFG
ABH BCH CDH DEH EFG EGH
ABH BCH CDH DEH EFH FGH
ABC ACD ADE AEF AFG AGH AHI
ABC ACD ADE AEF AFG AGI GHI
ABC ACD ADE AEF AFH AHI FGH
ABC ACD ADE AEF AFI FGH FHI
ABC ACD ADE AEF AFI FGI GHI
ABC ACD ADE AEG AGH AHI EFG
ABC ACD ADE AEG AGI EFG GHI
ABC ACD ADE AEH AHI EFG EGH
ABC ACD ADE AEH AHI EFH FGH
ABC ACD ADE AEI EFG EGH EHI
ABC ACD ADE AEI EFG EGI GHI
ABC ACD ADE AEI EFH EHI FGH
ABC ACD ADE AEI EFI FGH FHI
ABC ACD ADE AEI EFI FGI GHI
ABC ACD ADF AFG AGH AHI DEF
ABC ACD ADF AFG AGI DEF GHI
ABC ACD ADF AFH AHI DEF FGH
ABC ACD ADF AFI DEF FGH FHI
ABC ACD ADF AFI DEF FGI GHI
ABC ACD ADG AGH AHI DEF DFG
ABC ACD ADG AGH AHI DEG EFG
ABC ACD ADG AGI DEF DFG GHI
ABC ACD ADG AGI DEG EFG GHI
ABC ACD ADH AHI DEF DFG DGH
ABC ACD ADH AHI DEF DFH FGH
ABC ACD ADH AHI DEG DGH EFG
ABC ACD ADH AHI DEH EFG EGH
ABC ACD ADH AHI DEH EFH FGH
ABC ACD ADI DEF DFG DGH DHI
ABC ACD ADI DEF DFG DGI GHI
ABC ACD ADI DEF DFH DHI FGH
ABC ACD ADI DEF DFI FGH FHI
ABC ACD ADI DEF DFI FGI GHI
ABC ACD ADI DEG DGH DHI EFG
ABC ACD ADI DEG DGI EFG GHI
ABC ACD ADI DEH DHI EFG EGH
ABC ACD ADI DEH DHI EFH FGH
ABC ACD ADI DEI EFG EGH EHI
ABC ACD ADI DEI EFG EGI GHI
ABC ACD ADI DEI EFH EHI FGH
ABC ACD ADI DEI EFI FGH FHI
ABC ACD ADI DEI EFI FGI GHI
ABC ACE AEF AFG AGH AHI CDE
ABC ACE AEF AFG AGI CDE GHI
ABC ACE AEF AFH AHI CDE FGH
ABC ACE AEF AFI CDE FGH FHI
ABC ACE AEF AFI CDE FGI GHI
ABC ACE AEG AGH AHI CDE EFG
ABC ACE AEG AGI CDE EFG GHI
ABC ACE AEH AHI CDE EFG EGH
ABC ACE AEH AHI CDE EFH FGH
ABC ACE AEI CDE EFG EGH EHI
ABC ACE AEI CDE EFG EGI GHI
ABC ACE AEI CDE EFH EHI FGH
ABC ACE AEI CDE EFI FGH FHI
ABC ACE AEI CDE EFI FGI GHI
ABC ACF AFG AGH AHI CDE CEF
ABC ACF AFG AGH AHI CDF DEF
ABC ACF AFG AGI CDE CEF GHI
ABC ACF AFG AGI CDF DEF GHI
ABC ACF AFH AHI CDE CEF FGH
ABC ACF AFH AHI CDF DEF FGH
ABC ACF AFI CDE CEF FGH FHI
ABC ACF AFI CDE CEF FGI GHI
ABC ACF AFI CDF DEF FGH FHI
ABC ACF AFI CDF DEF FGI GHI
ABC ACG AGH AHI CDE CEF CFG
ABC ACG AGH AHI CDE CEG EFG
ABC ACG AGH AHI CDF CFG DEF
ABC ACG AGH AHI CDG DEF DFG
ABC ACG AGH AHI CDG DEG EFG
ABC ACG AGI CDE CEF CFG GHI
ABC ACG AGI CDE CEG EFG GHI
ABC ACG AGI CDF CFG DEF GHI
ABC ACG AGI CDG DEF DFG GHI
ABC ACG AGI CDG DEG EFG GHI
ABC ACH AHI CDE CEF CFG CGH
ABC ACH AHI CDE CEF CFH FGH
ABC ACH AHI CDE CEG CGH EFG
ABC ACH AHI CDE CEH EFG EGH
ABC ACH AHI CDE CEH EFH FGH
ABC ACH AHI CDF CFG CGH DEF
ABC ACH AHI CDF CFH DEF FGH
ABC ACH AHI CDG CGH DEF DFG
ABC ACH AHI CDG CGH DEG EFG
ABC ACH AHI CDH DEF DFG DGH
ABC ACH AHI CDH DEF DFH FGH
ABC ACH AHI CDH DEG DGH EFG
ABC ACH AHI CDH DEH EFG EGH
ABC ACH AHI CDH DEH EFH FGH
ABC ACI CDE CEF CFG CGH CHI
ABC ACI CDE CEF CFG CGI GHI
ABC ACI CDE CEF CFH CHI FGH
ABC ACI CDE CEF CFI FGH FHI
ABC ACI CDE CEF CFI FGI GHI
ABC ACI CDE CEG CGH CHI EFG
ABC ACI CDE CEG CGI EFG GHI
ABC ACI CDE CEH CHI EFG EGH
ABC ACI CDE CEH CHI EFH FGH
ABC ACI CDE CEI EFG EGH EHI
ABC ACI CDE CEI EFG EGI GHI
ABC ACI CDE CEI EFH EHI FGH
ABC ACI CDE CEI EFI FGH FHI
ABC ACI CDE CEI EFI FGI GHI
ABC ACI CDF CFG CGH CHI DEF
ABC ACI CDF CFG CGI DEF GHI
ABC ACI CDF CFH CHI DEF FGH
ABC ACI CDF CFI DEF FGH FHI
ABC ACI CDF CFI DEF FGI GHI
ABC ACI CDG CGH CHI DEF DFG
ABC ACI CDG CGH CHI DEG EFG
ABC ACI CDG CGI DEF DFG GHI
ABC ACI CDG CGI DEG EFG GHI
ABC ACI CDH CHI DEF DFG DGH
ABC ACI CDH CHI DEF DFH FGH
ABC ACI CDH CHI DEG DGH EFG
ABC ACI CDH CHI DEH EFG EGH
ABC ACI CDH CHI DEH EFH FGH
ABC ACI CDI DEF DFG DGH DHI
ABC ACI CDI DEF DFG DGI GHI
ABC ACI CDI DEF DFH DHI FGH
ABC ACI CDI DEF DFI FGH FHI
ABC ACI CDI DEF DFI FGI GHI
ABC ACI CDI DEG DGH DHI EFG
ABC ACI CDI DEG DGI EFG GHI
ABC ACI CDI DEH DHI EFG EGH
ABC ACI CDI DEH DHI EFH FGH
ABC ACI CDI DEI EFG EGH EHI
ABC ACI CDI DEI EFG EGI GHI
ABC ACI CDI DEI EFH EHI FGH
ABC ACI CDI DEI EFI FGH FHI
ABC ACI CDI DEI EFI FGI GHI
ABD ADE AEF AFG AGH AHI BCD
ABD ADE AEF AFG AGI BCD GHI
ABD ADE AEF AFH AHI BCD FGH
ABD ADE AEF AFI BCD FGH FHI
ABD ADE AEF AFI BCD FGI GHI
ABD ADE AEG AGH AHI BCD EFG
ABD ADE AEG AGI BCD EFG GHI
ABD ADE AEH AHI BCD EFG EGH
ABD ADE AEH AHI BCD EFH FGH
ABD ADE AEI BCD EFG EGH EHI
ABD ADE AEI BCD EFG EGI GHI
ABD ADE AEI BCD EFH EHI FGH
ABD ADE AEI BCD EFI FGH FHI
ABD ADE AEI BCD EFI FGI GHI
ABD ADF AFG AGH AHI BCD DEF
ABD ADF AFG AGI BCD DEF GHI
ABD ADF AFH AHI BCD DEF FGH
ABD ADF AFI BCD DEF FGH FHI
ABD ADF AFI BCD DEF FGI GHI
ABD ADG AGH AHI BCD DEF DFG
ABD ADG AGH AHI BCD DEG EFG
ABD ADG AGI BCD DEF DFG GHI
ABD ADG AGI BCD DEG EFG GHI
ABD ADH AHI BCD DEF DFG DGH
ABD ADH AHI BCD DEF DFH FGH
ABD ADH AHI BCD DEG DGH EFG
ABD ADH AHI BCD DEH EFG EGH
ABD ADH AHI BCD DEH EFH FGH
ABD ADI BCD DEF DFG DGH DHI
ABD ADI BCD DEF DFG DGI GHI
ABD ADI BCD DEF DFH DHI FGH
ABD ADI BCD DEF DFI FGH FHI
ABD ADI BCD DEF DFI FGI GHI
ABD ADI BCD DEG DGH DHI EFG
ABD ADI BCD DEG DGI EFG GHI
ABD ADI BCD DEH DHI EFG EGH
ABD ADI BCD DEH DHI EFH FGH
ABD ADI BCD DEI EFG EGH EHI
ABD ADI BCD DEI EFG EGI GHI
ABD ADI BCD DEI EFH EHI FGH
ABD ADI BCD DEI EFI FGH FHI
ABD ADI BCD DEI EFI FGI GHI
ABE AEF AFG AGH AHI BCD BDE
ABE AEF AFG AGH AHI BCE CDE
ABE AEF AFG AGI BCD BDE GHI
ABE AEF AFG AGI BCE CDE GHI
ABE AEF AFH AHI BCD BDE FGH
ABE AEF AFH AHI BCE CDE FGH
ABE AEF AFI BCD BDE FGH FHI
ABE AEF AFI BCD BDE FGI GHI
ABE AEF AFI BCE CDE FGH FHI
ABE AEF AFI BCE CDE FGI GHI
ABE AEG AGH AHI BCD BDE EFG
ABE AEG AGH AHI BCE CDE EFG
ABE AEG AGI BCD BDE EFG GHI
ABE AEG AGI BCE CDE EFG GHI
ABE AEH AHI BCD BDE EFG EGH
ABE AEH AHI BCD BDE EFH FGH
ABE AEH AHI BCE CDE EFG EGH
ABE AEH AHI BCE CDE EFH FGH
ABE AEI BCD BDE EFG EGH EHI
ABE AEI BCD BDE EFG EGI GHI
ABE AEI BCD BDE EFH EHI FGH
ABE AEI BCD BDE EFI FGH FHI
ABE AEI BCD BDE EFI FGI GHI
ABE AEI BCE CDE EFG EGH EHI
ABE AEI BCE CDE EFG EGI GHI
ABE AEI BCE CDE EFH EHI FGH
ABE AEI BCE CDE EFI FGH FHI
ABE AEI BCE CDE EFI FGI GHI
ABF AFG AGH AHI BCD BDE BEF
ABF AFG AGH AHI BCD BDF DEF
ABF AFG AGH AHI BCE BEF CDE
ABF AFG AGH AHI BCF CDE CEF
ABF AFG AGH AHI BCF CDF DEF
ABF AFG AGI BCD BDE BEF GHI
ABF AFG AGI BCD BDF DEF GHI
ABF AFG AGI BCE BEF CDE GHI
ABF AFG AGI BCF CDE CEF GHI
ABF AFG AGI BCF CDF DEF GHI
ABF AFH AHI BCD BDE BEF FGH
ABF AFH AHI BCD BDF DEF FGH
ABF AFH AHI BCE BEF CDE FGH
ABF AFH AHI BCF CDE CEF FGH
ABF AFH AHI BCF CDF DEF FGH
ABF AFI BCD BDE BEF FGH FHI
ABF AFI BCD BDE BEF FGI GHI
ABF AFI BCD BDF DEF FGH FHI
ABF AFI BCD BDF DEF FGI GHI
ABF AFI BCE BEF CDE FGH FHI
ABF AFI BCE BEF CDE FGI GHI
ABF AFI BCF CDE CEF FGH FHI
ABF AFI BCF CDE CEF FGI GHI
ABF AFI BCF CDF DEF FGH FHI
ABF AFI BCF CDF DEF FGI GHI
ABG AGH AHI BCD BDE BEF BFG
ABG AGH AHI BCD BDE BEG EFG
ABG AGH AHI BCD BDF BFG DEF
ABG AGH AHI BCD BDG DEF DFG
ABG AGH AHI BCD BDG DEG EFG
ABG AGH AHI BCE BEF BFG CDE
ABG AGH AHI BCE BEG CDE EFG
ABG AGH AHI BCF BFG CDE CEF
ABG AGH AHI BCF BFG CDF DEF
ABG AGH AHI BCG CDE CEF CFG
ABG AGH AHI BCG CDE CEG EFG
ABG AGH AHI BCG CDF CFG DEF
ABG AGH AHI BCG CDG DEF DFG
ABG AGH AHI BCG CDG DEG EFG
ABG AGI BCD BDE BEF BFG GHI
ABG AGI BCD BDE BEG EFG GHI
ABG AGI BCD BDF BFG DEF GHI
ABG AGI BCD BDG DEF DFG GHI
ABG AGI BCD BDG DEG EFG GHI
ABG AGI BCE BEF BFG CDE GHI
ABG AGI BCE BEG CDE EFG GHI
ABG AGI BCF BFG CDE CEF GHI
ABG AGI BCF BFG CDF DEF GHI
ABG AGI BCG CDE CEF CFG GHI
ABG AGI BCG CDE CEG EFG GHI
ABG AGI BCG CDF CFG DEF GHI
ABG AGI BCG CDG DEF DFG GHI
ABG AGI BCG CDG DEG EFG GHI
ABH AHI BCD BDE BEF BFG BGH
ABH AHI BCD BDE BEF BFH FGH
ABH AHI BCD BDE BEG BGH EFG
ABH AHI BCD BDE BEH EFG EGH
ABH AHI BCD BDE BEH EFH FGH
ABH AHI BCD BDF BFG BGH DEF
ABH AHI BCD BDF BFH DEF FGH
ABH AHI BCD BDG BGH DEF DFG
ABH AHI BCD BDG BGH DEG EFG
ABH AHI BCD BDH DEF DFG DGH
ABH AHI BCD BDH DEF DFH FGH
ABH AHI BCD BDH DEG DGH EFG
ABH AHI BCD BDH DEH EFG EGH
ABH AHI BCD BDH DEH EFH FGH
ABH AHI BCE BEF BFG BGH CDE
ABH AHI BCE BEF BFH CDE FGH
ABH AHI BCE BEG BGH CDE EFG
ABH AHI BCE BEH CDE EFG EGH
ABH AHI BCE BEH CDE EFH FGH
ABH AHI BCF BFG BGH CDE CEF
ABH AHI BCF BFG BGH CDF DEF
ABH AHI BCF BFH CDE CEF FGH
ABH AHI BCF BFH CDF DEF FGH
ABH AHI BCG BGH CDE CEF CFG
ABH AHI BCG BGH CDE CEG EFG
ABH AHI BCG BGH CDF CFG DEF
ABH AHI BCG BGH CDG DEF DFG
ABH AHI BCG BGH CDG DEG EFG
ABH AHI BCH CDE CEF CFG CGH
ABH AHI BCH CDE CEF CFH FGH
ABH AHI BCH CDE CEG CGH EFG
ABH AHI BCH CDE CEH EFG EGH
ABH AHI BCH CDE CEH EFH FGH
ABH AHI BCH CDF CFG CGH DEF
ABH AHI BCH CDF CFH DEF FGH
ABH AHI BCH CDG CGH DEF DFG
ABH AHI BCH CDG CGH DEG EFG
ABH AHI BCH CDH DEF DFG DGH
ABH AHI BCH CDH DEF DFH FGH
ABH AHI BCH CDH DEG DGH EFG
ABH AHI BCH CDH DEH EFG EGH
ABH AHI BCH CDH DEH EFH FGH
ABI BCD BDE BEF BFG BGH BHI
ABI BCD BDE BEF BFG BGI GHI
ABI BCD BDE BEF BFH BHI FGH
ABI BCD BDE BEF BFI FGH FHI
ABI BCD BDE BEF BFI FGI GHI
ABI BCD BDE BEG BGH BHI EFG
ABI BCD BDE BEG BGI EFG GHI
ABI BCD BDE BEH BHI EFG EGH
ABI BCD BDE BEH BHI EFH FGH
ABI BCD BDE BEI EFG EGH EHI
ABI BCD BDE BEI EFG EGI GHI
ABI BCD BDE BEI EFH EHI FGH
ABI BCD BDE BEI EFI FGH FHI
ABI BCD BDE BEI EFI FGI GHI
ABI BCD BDF BFG BGH BHI DEF
ABI BCD BDF BFG BGI DEF GHI
ABI BCD BDF BFH BHI DEF FGH
ABI BCD BDF BFI DEF FGH FHI
ABI BCD BDF BFI DEF FGI GHI
ABI BCD BDG BGH BHI DEF DFG
ABI BCD BDG BGH BHI DEG EFG
ABI BCD BDG BGI DEF DFG GHI
ABI BCD BDG BGI DEG EFG GHI
ABI BCD BDH BHI DEF DFG DGH
ABI BCD BDH BHI DEF DFH FGH
ABI BCD BDH BHI DEG DGH EFG
ABI BCD BDH BHI DEH EFG EGH
ABI BCD BDH BHI DEH EFH FGH
ABI BCD BDI DEF DFG DGH DHI
ABI BCD BDI DEF DFG DGI GHI
ABI BCD BDI DEF DFH DHI FGH
ABI BCD BDI DEF DFI FGH FHI
ABI BCD BDI DEF DFI FGI GHI
ABI BCD BDI DEG DGH DHI EFG
ABI BCD BDI DEG DGI EFG GHI
ABI BCD BDI DEH DHI EFG EGH
ABI BCD BDI DEH DHI EFH FGH
ABI BCD BDI DEI EFG EGH EHI
ABI BCD BDI DEI EFG EGI GHI
ABI BCD BDI DEI EFH EHI FGH
ABI BCD BDI DEI EFI FGH FHI
ABI BCD BDI DEI EFI FGI GHI
ABI BCE BEF BFG BGH BHI CDE
ABI BCE BEF BFG BGI CDE GHI
ABI BCE BEF BFH BHI CDE FGH
ABI BCE BEF BFI CDE FGH FHI
ABI BCE BEF BFI CDE FGI GHI
ABI BCE BEG BGH BHI CDE EFG
ABI BCE BEG BGI CDE EFG GHI
ABI BCE BEH BHI CDE EFG EGH
ABI BCE BEH BHI CDE EFH FGH
ABI BCE BEI CDE EFG EGH EHI
ABI BCE BEI CDE EFG EGI GHI
ABI BCE BEI CDE EFH EHI FGH
ABI BCE BEI CDE EFI FGH FHI
ABI BCE BEI CDE EFI FGI GHI
ABI BCF BFG BGH BHI CDE CEF
ABI BCF BFG BGH BHI CDF DEF
ABI BCF BFG BGI CDE CEF GHI
ABI BCF BFG BGI CDF DEF GHI
ABI BCF BFH BHI CDE CEF FGH
ABI BCF BFH BHI CDF DEF FGH
ABI BCF BFI CDE CEF FGH FHI
ABI BCF BFI CDE CEF FGI GHI
ABI BCF BFI CDF DEF FGH FHI
ABI BCF BFI CDF DEF FGI GHI
ABI BCG BGH BHI CDE CEF CFG
ABI BCG BGH BHI CDE CEG EFG
ABI BCG BGH BHI CDF CFG DEF
ABI BCG BGH BHI CDG DEF DFG
ABI BCG BGH BHI CDG DEG EFG
ABI BCG BGI CDE CEF CFG GHI
ABI BCG BGI CDE CEG EFG GHI
ABI BCG BGI CDF CFG DEF GHI
ABI BCG BGI CDG DEF DFG GHI
ABI BCG BGI CDG DEG EFG GHI
ABI BCH BHI CDE CEF CFG CGH
ABI BCH BHI CDE CEF CFH FGH
ABI BCH BHI CDE CEG CGH EFG
ABI BCH BHI CDE CEH EFG EGH
ABI BCH BHI CDE CEH EFH FGH
ABI BCH BHI CDF CFG CGH DEF
ABI BCH BHI CDF CFH DEF FGH
ABI BCH BHI CDG CGH DEF DFG
ABI BCH BHI CDG CGH DEG EFG
ABI BCH BHI CDH DEF DFG DGH
ABI BCH BHI CDH DEF DFH FGH
ABI BCH BHI CDH DEG DGH EFG
ABI BCH BHI CDH DEH EFG EGH
ABI BCH BHI CDH DEH EFH FGH
ABI BCI CDE CEF CFG CGH CHI
ABI BCI CDE CEF CFG CGI GHI
ABI BCI CDE CEF CFH CHI FGH
ABI BCI CDE CEF CFI FGH FHI
ABI BCI CDE CEF CFI FGI GHI
ABI BCI CDE CEG CGH CHI EFG
ABI BCI CDE CEG CGI EFG GHI
ABI BCI CDE CEH CHI EFG EGH
ABI BCI CDE CEH CHI EFH FGH
ABI BCI CDE CEI EFG EGH EHI
ABI BCI CDE CEI EFG EGI GHI
ABI BCI CDE CEI EFH EHI FGH
ABI BCI CDE CEI EFI FGH FHI
ABI BCI CDE CEI EFI FGI GHI
ABI BCI CDF CFG CGH CHI DEF
ABI BCI CDF CFG CGI DEF GHI
ABI BCI CDF CFH CHI DEF FGH
ABI BCI CDF CFI DEF FGH FHI
ABI BCI CDF CFI DEF FGI GHI
ABI BCI CDG CGH CHI DEF DFG
ABI BCI CDG CGH CHI DEG EFG
ABI BCI CDG CGI DEF DFG GHI
ABI BCI CDG CGI DEG EFG GHI
ABI BCI CDH CHI DEF DFG DGH
ABI BCI CDH CHI DEF DFH FGH
ABI BCI CDH CHI DEG DGH EFG
ABI BCI CDH CHI DEH EFG EGH
ABI BCI CDH CHI DEH EFH FGH
ABI BCI CDI DEF DFG DGH DHI
ABI BCI CDI DEF DFG DGI GHI
ABI BCI CDI DEF DFH DHI FGH
ABI BCI CDI DEF DFI FGH FHI
ABI BCI CDI DEF DFI FGI GHI
ABI BCI CDI DEG DGH DHI EFG
ABI BCI CDI DEG DGI EFG GHI
ABI BCI CDI DEH DHI EFG EGH
ABI BCI CDI DEH DHI EFH FGH
ABI BCI CDI DEI EFG EGH EHI
ABI BCI CDI DEI EFG EGI GHI
ABI BCI CDI DEI EFH EHI FGH
ABI BCI CDI DEI EFI FGH FHI
ABI BCI CDI DEI EFI FGI GHI
ABC ACD ADE AEF AFG AGH AHI AIJ
ABC ACD ADE AEF AFG AGH AHJ HIJ
ABC ACD ADE AEF AFG AGI AIJ GHI
ABC ACD ADE AEF AFG AGJ GHI GIJ
ABC ACD ADE AEF AFG AGJ GHJ HIJ
ABC ACD ADE AEF AFH AHI AIJ FGH
ABC ACD ADE AEF AFH AHJ FGH HIJ
